UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
148496,1,29,3,4,R,3470,R,1043,R,2427,R,5,R,1,R,4,R,131,R,37,R,94,R,286,R,61,R,225,R,1005,R,322,R,683,R,6,R,1,R,5,R,1759,R,505,R,1254,R,27,R,7,R,20,R,167,R,50,R,117,R,84,R,59,R,25
148511,1,29,3,4,R,2280,R,606,R,1674,R,7,R,1,R,6,R,315,R,107,R,208,R,147,R,40,R,107,R,168,R,53,R,115,R,10,R,6,R,4,R,1550,R,371,R,1179,R,23,R,5,R,18,R,60,R,23,R,37,R,0,R,0,R,0
148575,1,29,3,4,R,701,R,70,R,631,R,0,R,0,R,0,R,13,R,1,R,12,R,23,R,0,R,23,R,19,R,4,R,15,R,1,R,1,R,0,R,637,R,63,R,574,R,0,R,0,R,0,R,2,R,0,R,2,R,6,R,1,R,5
148584,1,29,3,4,R,3764,R,932,R,2832,R,16,R,5,R,11,R,93,R,22,R,71,R,306,R,78,R,228,R,394,R,110,R,284,R,11,R,2,R,9,R,2718,R,645,R,2073,R,65,R,29,R,36,R,119,R,22,R,97,R,42,R,19,R,23
148593,1,29,3,4,R,124,R,12,R,112,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,122,R,12,R,110,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1
148627,1,29,3,4,R,4252,R,1276,R,2976,R,15,R,3,R,12,R,108,R,39,R,69,R,747,R,172,R,575,R,791,R,237,R,554,R,3,R,1,R,2,R,2264,R,714,R,1550,R,71,R,17,R,54,R,236,R,85,R,151,R,17,R,8,R,9
148654,1,29,3,4,R,5137,R,2525,R,2612,R,12,R,8,R,4,R,198,R,109,R,89,R,612,R,229,R,383,R,247,R,116,R,131,R,5,R,4,R,1,R,3397,R,1684,R,1713,R,110,R,51,R,59,R,174,R,105,R,69,R,382,R,219,R,163
148672,1,29,3,4,R,2220,R,896,R,1324,R,5,R,2,R,3,R,13,R,6,R,7,R,75,R,38,R,37,R,255,R,101,R,154,R,0,R,0,R,0,R,1823,R,735,R,1088,R,0,R,0,R,0,R,45,R,13,R,32,R,4,R,1,R,3
148724,1,29,3,4,R,30,R,13,R,17,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,4,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,23,R,10,R,13,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1
148821,1,29,3,4,R,1834,R,741,R,1093,R,8,R,4,R,4,R,6,R,2,R,4,R,263,R,88,R,175,R,44,R,19,R,25,R,1,R,0,R,1,R,1500,R,620,R,880,R,0,R,0,R,0,R,12,R,8,R,4,R,0,R,0,R,0
148849,1,29,3,4,R,97,R,57,R,40,Z,0,Z,0,Z,0,R,5,R,1,R,4,R,7,R,5,R,2,R,10,R,5,R,5,Z,0,Z,0,Z,0,R,66,R,41,R,25,R,3,R,3,Z,0,R,6,R,2,R,4,Z,0,Z,0,Z,0
148876,1,29,3,4,R,1607,R,354,R,1253,R,2,Z,0,R,2,R,22,R,14,R,8,R,41,R,12,R,29,R,1402,R,280,R,1122,R,1,R,1,Z,0,R,14,R,5,R,9,Z,0,Z,0,Z,0,R,88,R,31,R,57,R,37,R,11,R,26
148885,1,29,3,4,R,233,R,222,R,11,Z,0,Z,0,Z,0,R,5,R,5,Z,0,R,4,R,4,Z,0,R,26,R,26,Z,0,Z,0,Z,0,Z,0,R,152,R,141,R,11,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,46,R,46,Z,0
148937,1,29,3,4,R,1930,R,780,R,1150,R,1,R,0,R,1,R,4,R,2,R,2,R,51,R,27,R,24,R,38,R,19,R,19,R,2,R,2,R,0,R,1592,R,625,R,967,R,59,R,28,R,31,R,175,R,69,R,106,R,8,R,8,R,0
148955,1,29,3,4,R,64,R,4,R,60,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,2,R,60,R,3,R,57,R,0,R,0,R,0,R,1,R,1,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0
148982,1,29,3,4,R,219,R,75,R,144,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,52,R,12,R,40,R,10,R,6,R,4,Z,0,Z,0,Z,0,R,157,R,57,R,100,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
148991,1,29,3,4,R,1784,R,741,R,1043,R,7,R,2,R,5,R,16,R,2,R,14,R,112,R,64,R,48,R,29,R,11,R,18,R,0,R,0,R,0,R,1614,R,659,R,955,R,4,R,1,R,3,R,1,R,1,R,0,R,1,R,1,R,0
149028,1,29,3,4,R,291,R,26,R,265,R,0,R,0,R,0,R,19,R,3,R,16,R,13,R,2,R,11,R,14,R,0,R,14,R,0,R,0,R,0,R,210,R,19,R,191,R,8,R,0,R,8,R,27,R,2,R,25,R,0,R,0,R,0
149204,1,29,3,4,R,45,Z,0,R,45,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,R,5,Z,0,R,5,Z,0,Z,0,Z,0,R,38,Z,0,R,38,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
149222,1,29,3,4,R,17964,R,9644,R,8320,R,52,R,31,R,21,R,365,R,219,R,146,R,3111,R,1362,R,1749,R,1101,R,595,R,506,R,20,R,9,R,11,R,11359,R,6239,R,5120,R,461,R,231,R,230,R,33,R,20,R,13,R,1462,R,938,R,524
149231,1,29,3,4,R,13850,R,6332,R,7518,R,28,R,17,R,11,R,244,R,117,R,127,R,1817,R,628,R,1189,R,470,R,216,R,254,R,18,R,5,R,13,R,10285,R,4840,R,5445,R,373,R,159,R,214,R,285,R,148,R,137,R,330,R,202,R,128
149310,1,29,3,4,R,257,R,152,R,105,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,79,R,17,R,62,R,7,R,5,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,171,R,130,R,41
149329,1,29,3,4,R,77,R,77,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,77,R,77,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
149365,1,29,3,4,R,5212,R,1757,R,3455,R,26,R,9,R,17,R,45,R,18,R,27,R,3491,R,1063,R,2428,R,645,R,251,R,394,R,9,R,4,R,5,R,876,R,363,R,513,R,98,R,40,R,58,R,22,R,9,R,13,R,0,R,0,R,0
149499,1,29,3,4,R,14,R,0,R,14,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,14,R,0,R,14,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
149505,1,29,3,4,R,1380,R,482,R,898,R,7,R,3,R,4,R,23,R,8,R,15,R,134,R,38,R,96,R,142,R,47,R,95,R,2,R,2,Z,0,R,994,R,352,R,642,R,21,R,6,R,15,R,25,R,8,R,17,R,32,R,18,R,14
149514,1,29,3,4,R,2125,R,1355,R,770,R,7,R,3,R,4,R,146,R,114,R,32,R,226,R,114,R,112,R,106,R,66,R,40,R,3,R,1,R,2,R,1223,R,772,R,451,R,30,R,19,R,11,R,258,R,173,R,85,R,126,R,93,R,33
149532,1,29,3,4,R,11225,R,4953,R,6272,R,27,R,10,R,17,R,286,R,133,R,153,R,1850,R,673,R,1177,R,4340,R,1844,R,2496,R,21,R,10,R,11,R,3334,R,1592,R,1742,R,184,R,86,R,98,R,1183,R,605,R,578,R,0,R,0,R,0
149550,1,29,3,4,R,189,R,9,R,180,R,2,R,0,R,2,R,0,R,0,R,0,R,19,R,3,R,16,R,3,R,0,R,3,R,0,R,0,R,0,R,161,R,4,R,157,R,4,R,2,R,2,R,0,R,0,R,0,R,0,R,0,R,0
149639,1,29,3,4,R,178,R,91,R,87,Z,0,Z,0,Z,0,R,13,R,6,R,7,R,9,R,6,R,3,R,23,R,14,R,9,Z,0,Z,0,Z,0,R,114,R,54,R,60,R,3,R,1,R,2,R,12,R,9,R,3,R,4,R,1,R,3
149727,1,29,3,4,R,10721,R,4747,R,5974,R,12,R,5,R,7,R,278,R,113,R,165,R,713,R,282,R,431,R,3582,R,1507,R,2075,R,9,R,4,R,5,R,5572,R,2563,R,3009,R,181,R,74,R,107,R,374,R,199,R,175,R,0,R,0,R,0
149763,1,29,3,4,R,462,R,60,R,402,R,1,R,0,R,1,R,81,R,13,R,68,R,46,R,2,R,44,R,46,R,7,R,39,R,5,R,0,R,5,R,193,R,24,R,169,R,31,R,7,R,24,R,58,R,7,R,51,R,1,R,0,R,1
149772,1,29,3,4,R,11707,R,5798,R,5909,R,23,R,8,R,15,R,118,R,60,R,58,R,1751,R,749,R,1002,R,842,R,419,R,423,R,9,R,5,R,4,R,7928,R,3991,R,3937,R,217,R,94,R,123,R,449,R,247,R,202,R,370,R,225,R,145
149781,1,29,3,4,R,2993,R,1412,R,1581,R,4,R,4,R,0,R,228,R,99,R,129,R,72,R,32,R,40,R,128,R,43,R,85,R,0,R,0,R,0,R,2232,R,1087,R,1145,R,110,R,50,R,60,R,129,R,50,R,79,R,90,R,47,R,43
149842,1,29,3,4,R,14830,R,6640,R,8190,R,14,R,7,R,7,R,1437,R,680,R,757,R,541,R,229,R,312,R,3357,R,1401,R,1956,R,100,R,49,R,51,R,8195,R,3720,R,4475,R,466,R,223,R,243,R,718,R,330,R,388,R,2,R,1,R,1
150048,1,29,3,4,R,424,R,181,R,243,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,41,R,32,R,9,R,29,R,20,R,9,Z,0,Z,0,Z,0,R,347,R,128,R,219,R,5,R,1,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
150066,1,29,3,4,R,2442,R,1060,R,1382,R,8,R,4,R,4,R,25,R,10,R,15,R,228,R,115,R,113,R,60,R,24,R,36,R,5,R,1,R,4,R,1889,R,809,R,1080,R,9,R,3,R,6,R,152,R,65,R,87,R,66,R,29,R,37
150075,1,29,3,4,R,9,R,0,R,9,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,0,R,5,R,0,R,0,Z,0,R,0,R,0,Z,0,R,2,R,0,R,2
150136,1,29,3,4,R,20503,R,8210,R,12293,R,27,R,8,R,19,R,181,R,65,R,116,R,1259,R,502,R,757,R,638,R,267,R,371,R,20,R,9,R,11,R,16323,R,6501,R,9822,R,336,R,128,R,208,R,906,R,310,R,596,R,813,R,420,R,393
150145,1,29,3,4,R,1804,R,634,R,1170,R,5,R,1,R,4,R,9,R,3,R,6,R,216,R,60,R,156,R,96,R,41,R,55,R,6,R,2,R,4,R,1409,R,503,R,906,R,39,R,10,R,29,R,4,R,0,R,4,R,20,R,14,R,6
150163,1,29,3,4,R,4827,R,1939,R,2888,R,10,R,3,R,7,R,135,R,52,R,83,R,173,R,69,R,104,R,139,R,57,R,82,R,0,R,0,R,0,R,3951,R,1588,R,2363,R,60,R,21,R,39,R,219,R,89,R,130,R,140,R,60,R,80
150172,1,29,3,4,R,1140,R,635,R,505,R,6,R,3,R,3,R,4,R,4,Z,0,R,318,R,139,R,179,R,338,R,194,R,144,Z,0,Z,0,Z,0,R,465,R,289,R,176,R,8,R,6,R,2,Z,0,Z,0,Z,0,R,1,Z,0,R,1
150215,1,29,3,4,R,188,R,67,R,121,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,51,R,13,R,38,R,7,R,3,R,4,R,5,R,3,R,2,R,121,R,46,R,75,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0
150251,1,29,3,4,R,265,R,17,R,248,R,3,Z,0,R,3,R,5,Z,0,R,5,R,31,R,3,R,28,R,23,Z,0,R,23,Z,0,Z,0,Z,0,R,185,R,14,R,171,Z,0,Z,0,Z,0,R,18,Z,0,R,18,Z,0,Z,0,Z,0
150288,1,29,3,4,R,301,R,268,R,33,Z,0,Z,0,Z,0,R,6,R,5,R,1,R,9,R,9,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,252,R,225,R,27,R,3,R,3,Z,0,R,4,R,1,R,3,R,24,R,22,R,2
150303,1,29,3,4,R,182,R,5,R,177,R,0,R,0,R,0,R,1,R,0,R,1,R,47,R,1,R,46,R,43,R,0,R,43,R,0,R,0,R,0,R,88,R,4,R,84,R,3,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,0
150400,1,29,3,4,R,2304,R,1045,R,1259,R,8,R,2,R,6,R,70,R,26,R,44,R,146,R,71,R,75,R,76,R,29,R,47,R,0,R,0,R,0,R,1554,R,738,R,816,R,134,R,59,R,75,R,75,R,33,R,42,R,241,R,87,R,154
150428,1,29,3,4,R,53,R,2,R,51,R,0,R,0,R,0,R,0,R,0,R,0,R,6,R,0,R,6,R,8,R,1,R,7,R,0,R,0,R,0,R,39,R,1,R,38,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
150437,1,29,3,4,R,77,R,0,R,77,R,0,R,0,R,0,R,1,R,0,R,1,R,1,R,0,R,1,R,7,R,0,R,7,R,0,R,0,R,0,R,68,R,0,R,68,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
150455,1,29,3,4,R,1159,R,519,R,640,R,11,R,6,R,5,R,39,R,23,R,16,R,141,R,67,R,74,R,61,R,27,R,34,R,0,R,0,R,0,R,632,R,260,R,372,R,5,R,4,R,1,R,50,R,21,R,29,R,220,R,111,R,109
150534,1,29,3,4,R,2630,R,1086,R,1544,R,3,Z,0,R,3,R,38,R,14,R,24,R,72,R,28,R,44,R,71,R,28,R,43,R,1,Z,0,R,1,R,2052,R,787,R,1265,R,57,R,16,R,41,R,124,R,55,R,69,R,212,R,158,R,54
150604,1,29,3,4,R,1014,R,502,R,512,R,3,R,0,R,3,R,4,R,3,R,1,R,45,R,29,R,16,R,15,R,6,R,9,R,0,R,0,R,0,R,849,R,421,R,428,R,31,R,10,R,21,R,53,R,27,R,26,R,14,R,6,R,8
150668,1,29,3,4,R,888,R,368,R,520,Z,0,Z,0,Z,0,R,10,R,4,R,6,R,34,R,18,R,16,R,100,R,41,R,59,Z,0,Z,0,Z,0,R,647,R,245,R,402,R,23,R,13,R,10,R,8,R,3,R,5,R,66,R,44,R,22
150677,1,29,3,4,R,1904,R,848,R,1056,R,6,R,1,R,5,R,26,R,10,R,16,R,67,R,35,R,32,R,45,R,21,R,24,R,4,R,1,R,3,R,1285,R,534,R,751,R,45,R,26,R,19,R,371,R,171,R,200,R,55,R,49,R,6
150695,1,29,3,4,R,70,R,2,R,68,R,1,R,0,R,1,R,2,R,0,R,2,R,4,R,0,R,4,R,0,R,0,R,0,R,1,R,0,R,1,R,62,R,2,R,60,R,0,R,0,Z,0,R,0,R,0,Z,0,R,0,R,0,R,0
150710,1,29,3,4,R,108,R,59,R,49,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,103,R,54,R,49,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
150756,1,29,3,4,R,1163,R,499,R,664,R,5,R,2,R,3,R,12,R,4,R,8,R,52,R,20,R,32,R,28,R,8,R,20,Z,0,Z,0,Z,0,R,954,R,408,R,546,R,28,R,15,R,13,R,29,R,11,R,18,R,55,R,31,R,24
150765,1,29,3,4,R,86,R,3,R,83,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,2,R,1,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,82,R,2,R,80,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
150774,1,29,3,4,R,524,R,329,R,195,R,2,R,2,R,0,R,8,R,6,R,2,R,29,R,15,R,14,R,48,R,26,R,22,R,0,R,0,R,0,R,381,R,236,R,145,R,7,R,7,R,0,R,20,R,20,R,0,R,29,R,17,R,12
150853,1,29,3,4,R,116,R,5,R,111,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,11,R,1,R,10,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,101,R,4,R,97,Z,0,Z,0,Z,0,R,0,R,0,Z,0,Z,0,Z,0,Z,0
150941,1,29,3,4,R,1124,R,475,R,649,R,4,R,0,R,4,R,5,R,1,R,4,R,21,R,8,R,13,R,36,R,13,R,23,R,1,R,0,R,1,R,999,R,425,R,574,R,16,R,4,R,12,R,0,R,0,R,0,R,42,R,24,R,18
150987,1,29,3,4,R,98778,R,40884,R,57894,R,406,R,178,R,228,R,1302,R,570,R,732,R,13744,R,5338,R,8406,R,4349,R,1829,R,2520,R,0,R,0,R,0,R,69052,R,28977,R,40075,R,2419,R,962,R,1457,R,7484,R,3018,R,4466,R,22,R,12,R,10
151102,1,29,3,4,R,13459,R,6042,R,7417,R,41,R,14,R,27,R,332,R,145,R,187,R,686,R,274,R,412,R,675,R,298,R,377,R,5,R,1,R,4,R,11041,R,5005,R,6036,R,365,R,148,R,217,R,83,R,47,R,36,R,231,R,110,R,121
151111,1,29,3,4,R,30488,R,13273,R,17215,R,42,R,18,R,24,R,1278,R,633,R,645,R,2941,R,987,R,1954,R,1429,R,563,R,866,R,21,R,10,R,11,R,21571,R,9306,R,12265,R,874,R,344,R,530,R,495,R,272,R,223,R,1837,R,1140,R,697
151166,1,29,3,4,R,3726,R,681,R,3045,R,13,Z,0,R,13,R,11,R,4,R,7,R,590,R,129,R,461,R,60,R,13,R,47,R,2,Z,0,R,2,R,2231,R,376,R,1855,R,134,R,27,R,107,R,684,R,132,R,552,R,1,Z,0,R,1
151263,1,29,3,4,R,5452,R,1696,R,3756,R,11,R,3,R,8,R,64,R,22,R,42,R,513,R,158,R,355,R,154,R,44,R,110,R,7,R,1,R,6,R,3852,R,1117,R,2735,R,112,R,30,R,82,R,339,R,99,R,240,R,400,R,222,R,178
151290,1,29,3,4,R,6307,R,2456,R,3851,R,27,R,10,R,17,R,28,R,9,R,19,R,2402,R,686,R,1716,R,243,R,99,R,144,R,9,R,4,R,5,R,3075,R,1409,R,1666,R,120,R,47,R,73,R,285,R,108,R,177,R,118,R,84,R,34
151306,1,29,3,4,R,9902,R,3824,R,6078,R,22,R,10,R,12,R,85,R,36,R,49,R,421,R,176,R,245,R,85,R,37,R,48,R,10,R,3,R,7,R,8538,R,3207,R,5331,R,189,R,76,R,113,R,232,R,82,R,150,R,320,R,197,R,123
151324,1,29,3,4,R,12448,R,5588,R,6860,R,24,R,13,R,11,R,152,R,64,R,88,R,2047,R,820,R,1227,R,399,R,182,R,217,R,8,R,4,R,4,R,8369,R,3605,R,4764,R,344,R,154,R,190,R,229,R,98,R,131,R,876,R,648,R,228
151333,1,29,3,4,R,4178,R,1503,R,2675,R,12,R,5,R,7,R,52,R,23,R,29,R,175,R,50,R,125,R,150,R,62,R,88,R,5,R,4,R,1,R,3454,R,1207,R,2247,R,87,R,31,R,56,R,199,R,87,R,112,R,44,R,34,R,10
151342,1,29,3,4,R,8073,R,3138,R,4935,R,13,R,7,R,6,R,127,R,52,R,75,R,514,R,182,R,332,R,579,R,209,R,370,R,7,R,3,R,4,R,6257,R,2440,R,3817,R,208,R,83,R,125,R,187,R,77,R,110,R,181,R,85,R,96
151351,1,29,3,4,R,46817,R,23141,R,23676,R,68,R,29,R,39,R,1852,R,1012,R,840,R,1863,R,760,R,1103,R,1955,R,907,R,1048,R,30,R,12,R,18,R,32928,R,16200,R,16728,R,1309,R,596,R,713,R,485,R,287,R,198,R,6327,R,3338,R,2989
151360,1,29,3,4,R,6387,R,2124,R,4263,R,15,R,5,R,10,R,136,R,57,R,79,R,1191,R,294,R,897,R,1008,R,329,R,679,R,8,R,5,R,3,R,3376,R,1167,R,2209,R,107,R,31,R,76,R,540,R,235,R,305,R,6,R,1,R,5
151379,1,29,3,4,R,6733,R,2782,R,3951,R,15,R,8,R,7,R,95,R,48,R,47,R,400,R,140,R,260,R,177,R,75,R,102,R,13,R,6,R,7,R,5783,R,2392,R,3391,R,150,R,60,R,90,R,72,R,35,R,37,R,28,R,18,R,10
151388,1,29,3,4,R,4456,R,1563,R,2893,R,7,R,1,R,6,R,34,R,17,R,17,R,151,R,59,R,92,R,102,R,36,R,66,R,5,R,3,R,2,R,3960,R,1368,R,2592,R,80,R,32,R,48,R,88,R,35,R,53,R,29,R,12,R,17
151458,1,29,3,4,R,406,R,95,R,311,R,3,Z,0,R,3,R,3,R,1,R,2,R,8,R,3,R,5,R,16,R,3,R,13,Z,0,Z,0,Z,0,R,368,R,87,R,281,R,8,R,1,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
151467,1,29,3,4,R,399,R,81,R,318,R,1,R,1,R,0,R,1,R,0,R,1,R,36,R,6,R,30,R,26,R,7,R,19,R,0,R,0,R,0,R,317,R,63,R,254,R,10,R,0,R,10,R,8,R,4,R,4,R,0,R,0,R,0
151494,1,29,3,4,R,525,R,360,R,165,R,3,R,3,Z,0,R,9,R,8,R,1,R,172,R,111,R,61,R,24,R,19,R,5,Z,0,Z,0,Z,0,R,293,R,204,R,89,R,14,R,8,R,6,R,10,R,7,R,3,Z,0,Z,0,Z,0
151500,1,29,3,4,R,283,R,174,R,109,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,31,R,16,R,15,R,16,R,12,R,4,Z,0,Z,0,Z,0,R,223,R,139,R,84,R,6,R,3,R,3,R,4,R,2,R,2,Z,0,Z,0,Z,0
151519,1,29,3,4,R,4397,R,2804,R,1593,R,17,R,9,R,8,R,32,R,23,R,9,R,549,R,330,R,219,R,159,R,102,R,57,R,5,R,3,R,2,R,1032,R,697,R,335,R,49,R,38,R,11,R,2549,R,1599,R,950,R,5,R,3,R,2
151537,1,29,3,4,R,40,R,3,R,37,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12,R,2,R,10,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,26,Z,0,R,26,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0
151564,1,29,3,4,R,39,Z,0,R,39,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,37,Z,0,R,37,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
151607,1,29,3,4,R,82,R,1,R,81,R,0,R,0,R,0,R,1,R,0,R,1,R,6,R,1,R,5,R,8,R,0,R,8,R,0,R,0,R,0,R,67,R,0,R,67,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
151616,1,29,3,4,R,619,R,139,R,480,R,2,R,1,R,1,R,5,R,3,R,2,R,322,R,68,R,254,R,68,R,21,R,47,R,1,Z,0,R,1,R,215,R,44,R,171,Z,0,Z,0,Z,0,R,6,R,2,R,4,Z,0,Z,0,Z,0
151625,1,29,3,4,R,290,R,60,R,230,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,65,R,17,R,48,R,20,R,3,R,17,Z,0,Z,0,Z,0,R,203,R,40,R,163,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0
151652,1,29,3,4,R,194,R,15,R,179,R,0,R,0,R,0,R,3,R,0,R,3,R,42,R,3,R,39,R,6,R,0,R,6,R,0,R,0,R,0,R,134,R,11,R,123,R,2,R,1,R,1,R,7,R,0,R,7,R,0,R,0,R,0
151661,1,29,3,4,R,1240,R,1208,R,32,R,8,R,7,R,1,R,10,R,10,R,0,R,138,R,134,R,4,R,33,R,32,R,1,R,0,R,0,R,0,R,860,R,837,R,23,R,143,R,140,R,3,R,46,R,46,R,0,R,2,R,2,R,0
151777,1,29,3,4,R,1349,R,627,R,722,R,4,R,3,R,1,R,50,R,18,R,32,R,64,R,31,R,33,R,61,R,28,R,33,R,1,R,0,R,1,R,1093,R,512,R,581,R,41,R,17,R,24,R,9,R,5,R,4,R,26,R,13,R,13
151786,1,29,3,4,R,2714,R,999,R,1715,R,9,R,0,R,9,R,57,R,22,R,35,R,358,R,132,R,226,R,106,R,50,R,56,R,3,R,1,R,2,R,1998,R,731,R,1267,R,56,R,20,R,36,R,116,R,37,R,79,R,11,R,6,R,5
151801,1,29,3,4,R,14959,R,5075,R,9884,R,55,R,16,R,39,R,145,R,48,R,97,R,2836,R,701,R,2135,R,485,R,191,R,294,R,15,R,5,R,10,R,11099,R,3981,R,7118,R,220,R,89,R,131,R,67,R,24,R,43,R,37,R,20,R,17
151810,1,29,3,4,R,506,R,157,R,349,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,469,R,149,R,320,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,19,R,4,R,15,R,8,R,3,R,5,R,1,Z,0,R,1,R,1,Z,0,R,1
151829,1,29,3,4,R,96,R,4,R,92,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,Z,0,R,7,R,4,Z,0,R,4,Z,0,Z,0,Z,0,R,80,R,3,R,77,R,3,Z,0,R,3,R,2,R,1,R,1,Z,0,Z,0,Z,0
151865,1,29,3,4,R,101,R,50,R,51,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,6,R,3,R,3,R,2,R,1,R,1,Z,0,Z,0,Z,0,R,82,R,40,R,42,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,7,R,4,R,3
151874,1,29,3,4,R,62,R,27,R,35,R,0,R,0,R,0,R,0,R,0,R,0,R,62,R,27,R,35,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
151944,1,29,3,4,R,423,R,86,R,337,R,1,Z,0,R,1,R,1,Z,0,R,1,R,99,R,17,R,82,R,36,R,11,R,25,R,1,Z,0,R,1,R,281,R,56,R,225,R,1,Z,0,R,1,R,3,R,2,R,1,Z,0,Z,0,Z,0
151962,1,29,3,4,R,63,R,34,R,29,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,3,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,56,R,31,R,25,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
152044,1,29,3,4,R,87,R,27,R,60,R,0,R,0,R,0,R,0,R,0,R,0,R,48,R,19,R,29,R,9,R,3,R,6,R,0,R,0,R,0,R,27,R,5,R,22,R,3,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,0
