UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
111708,1,29,3,4,R,267,R,224,R,43,R,4,R,2,R,2,R,5,R,5,Z,0,R,41,R,36,R,5,R,152,R,123,R,29,R,4,R,4,Z,0,R,57,R,51,R,6,R,4,R,3,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
111717,1,29,3,4,R,345,R,173,R,172,R,4,R,2,R,2,R,17,R,8,R,9,R,9,R,8,R,1,R,283,R,136,R,147,R,5,R,5,Z,0,R,24,R,13,R,11,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
111726,1,29,3,4,R,234,R,151,R,83,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,R,226,R,143,R,83,Z,0,Z,0,Z,0,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
111744,1,29,3,4,R,103,R,100,R,3,Z,0,Z,0,Z,0,R,2,R,2,Z,0,R,22,R,22,Z,0,R,53,R,50,R,3,R,1,R,1,Z,0,R,23,R,23,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
111762,1,29,3,4,R,88,R,45,R,43,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,83,R,41,R,42,Z,0,Z,0,Z,0,R,5,R,4,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
111771,1,29,3,4,R,104,R,67,R,37,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,101,R,64,R,37,Z,0,Z,0,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
111799,1,29,3,4,R,65,R,18,R,47,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,3,R,2,R,1,R,60,R,16,R,44,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
111887,1,29,3,4,R,21404,R,9717,R,11687,R,51,R,26,R,25,R,1953,R,999,R,954,R,1693,R,683,R,1010,R,13997,R,6249,R,7748,R,75,R,33,R,42,R,1996,R,984,R,1012,R,389,R,172,R,217,R,1061,R,480,R,581,R,189,R,91,R,98
111896,1,29,3,4,R,4523,R,1631,R,2892,R,106,R,30,R,76,R,154,R,60,R,94,R,219,R,59,R,160,R,1514,R,530,R,984,R,7,R,1,R,6,R,2245,R,847,R,1398,R,247,R,90,R,157,R,23,R,9,R,14,R,8,R,5,R,3
111920,1,29,3,4,R,13142,R,6108,R,7034,R,34,R,12,R,22,R,3083,R,1511,R,1572,R,1738,R,693,R,1045,R,4638,R,2082,R,2556,R,258,R,106,R,152,R,2391,R,1238,R,1153,R,718,R,322,R,396,R,213,R,100,R,113,R,69,R,44,R,25
111939,1,29,3,4,R,19211,R,8135,R,11076,R,47,R,22,R,25,R,1129,R,522,R,607,R,1769,R,738,R,1031,R,11276,R,4614,R,6662,R,43,R,21,R,22,R,3647,R,1618,R,2029,R,649,R,278,R,371,R,470,R,203,R,267,R,181,R,119,R,62
111948,1,29,3,4,R,7892,R,3269,R,4623,R,21,R,8,R,13,R,837,R,310,R,527,R,139,R,55,R,84,R,1117,R,421,R,696,R,23,R,11,R,12,R,4461,R,1889,R,2572,R,429,R,155,R,274,R,387,R,171,R,216,R,478,R,249,R,229
111966,1,29,3,4,R,515,R,167,R,348,Z,0,Z,0,Z,0,R,103,R,42,R,61,R,161,R,44,R,117,R,69,R,22,R,47,R,15,R,8,R,7,R,28,R,12,R,16,R,105,R,29,R,76,R,30,R,9,R,21,R,4,R,1,R,3
112075,1,29,3,4,R,4046,R,1730,R,2316,R,7,R,3,R,4,R,186,R,65,R,121,R,211,R,121,R,90,R,582,R,191,R,391,R,10,R,5,R,5,R,2136,R,1011,R,1125,R,135,R,62,R,73,R,659,R,207,R,452,R,120,R,65,R,55
112084,1,29,3,4,R,914,R,429,R,485,R,6,R,3,R,3,R,16,R,10,R,6,R,138,R,56,R,82,R,139,R,60,R,79,R,9,R,6,R,3,R,343,R,171,R,172,R,33,R,12,R,21,R,226,R,109,R,117,R,4,R,2,R,2
112127,1,29,3,4,R,79,R,32,R,47,R,2,R,1,R,1,R,4,R,3,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,65,R,22,R,43,R,4,R,3,R,1,R,2,R,1,R,1,Z,0,Z,0,Z,0
112172,1,29,3,4,R,12920,R,6026,R,6894,R,21,R,13,R,8,R,1050,R,532,R,518,R,583,R,282,R,301,R,7675,R,3459,R,4216,R,21,R,9,R,12,R,2629,R,1272,R,1357,R,383,R,180,R,203,R,141,R,71,R,70,R,417,R,208,R,209
112181,1,29,3,4,R,96,R,4,R,92,R,1,R,0,R,1,R,2,R,1,R,1,R,2,R,0,R,2,R,9,R,0,R,9,R,0,R,0,R,0,R,78,R,3,R,75,R,3,R,0,R,3,R,1,R,0,R,1,R,0,R,0,R,0
112190,1,29,3,4,R,26706,R,12917,R,13789,R,66,R,37,R,29,R,9052,R,4319,R,4733,R,2240,R,1063,R,1177,R,5998,R,2886,R,3112,R,213,R,107,R,106,R,6272,R,3140,R,3132,R,1144,R,549,R,595,R,622,R,315,R,307,R,1099,R,501,R,598
112251,1,29,3,4,R,2204,R,1036,R,1168,R,10,R,5,R,5,R,208,R,98,R,110,R,134,R,52,R,82,R,281,R,123,R,158,R,5,R,4,R,1,R,924,R,428,R,496,R,74,R,26,R,48,R,183,R,89,R,94,R,385,R,211,R,174
112260,1,29,3,4,R,1328,R,686,R,642,R,0,R,0,R,0,R,142,R,60,R,82,R,53,R,29,R,24,R,147,R,72,R,75,R,2,R,1,R,1,R,579,R,323,R,256,R,103,R,58,R,45,R,104,R,44,R,60,R,198,R,99,R,99
112288,1,29,3,4,R,354,R,44,R,310,R,8,R,1,R,7,R,2,Z,0,R,2,R,11,R,2,R,9,R,256,R,32,R,224,R,4,Z,0,R,4,R,71,R,8,R,63,R,1,Z,0,R,1,R,1,R,1,Z,0,Z,0,Z,0,Z,0
112367,1,29,3,4,R,608,R,53,R,555,R,7,R,1,R,6,R,116,R,10,R,106,R,20,R,2,R,18,R,243,R,10,R,233,R,23,R,2,R,21,R,190,R,26,R,164,R,1,R,1,R,0,R,8,R,1,R,7,R,0,R,0,R,0
112385,1,29,3,4,R,10378,R,5709,R,4669,R,67,R,40,R,27,R,2643,R,1163,R,1480,R,1145,R,864,R,281,R,2488,R,1503,R,985,R,52,R,30,R,22,R,3214,R,1734,R,1480,R,350,R,153,R,197,R,363,R,201,R,162,R,56,R,21,R,35
112394,1,29,3,4,R,472,R,354,R,118,R,2,R,1,R,1,R,56,R,36,R,20,R,16,R,14,R,2,R,68,R,51,R,17,R,15,R,13,R,2,R,204,R,151,R,53,R,55,R,42,R,13,R,52,R,44,R,8,R,4,R,2,R,2
112446,1,29,3,4,R,833,R,688,R,145,R,1,R,1,Z,0,R,78,R,70,R,8,R,51,R,48,R,3,R,99,R,92,R,7,R,6,R,5,R,1,R,281,R,255,R,26,R,3,R,3,Z,0,R,40,R,36,R,4,R,274,R,178,R,96
112455,1,29,3,4,R,40,R,3,R,37,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,19,R,0,R,19,R,0,R,0,R,0,R,19,R,2,R,17,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0
112525,1,29,3,4,R,3748,R,1440,R,2308,R,8,R,2,R,6,R,1283,R,483,R,800,R,100,R,41,R,59,R,344,R,124,R,220,R,10,R,4,R,6,R,1498,R,598,R,900,R,204,R,80,R,124,R,209,R,66,R,143,R,92,R,42,R,50
112561,1,29,3,4,R,2626,R,1153,R,1473,R,41,R,15,R,26,R,44,R,18,R,26,R,22,R,12,R,10,R,421,R,203,R,218,R,9,R,5,R,4,R,1917,R,832,R,1085,R,120,R,46,R,74,R,52,R,22,R,30,Z,0,Z,0,Z,0
112570,1,29,3,4,R,314,R,210,R,104,R,0,R,0,R,0,R,20,R,12,R,8,R,58,R,32,R,26,R,58,R,42,R,16,R,0,R,0,R,0,R,149,R,107,R,42,R,8,R,6,R,2,R,0,R,0,R,0,R,21,R,11,R,10
112686,1,29,3,4,R,7693,R,2762,R,4931,R,13,R,7,R,6,R,414,R,159,R,255,R,2887,R,953,R,1934,R,3758,R,1390,R,2368,R,61,R,17,R,44,R,262,R,123,R,139,R,229,R,90,R,139,R,53,R,19,R,34,R,16,R,4,R,12
112783,1,29,3,4,R,268,R,120,R,148,R,1,Z,0,R,1,R,6,R,1,R,5,R,19,R,13,R,6,R,213,R,93,R,120,Z,0,Z,0,Z,0,R,27,R,12,R,15,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0
112826,1,29,3,4,R,6865,R,2853,R,4012,R,24,R,10,R,14,R,1309,R,528,R,781,R,1645,R,639,R,1006,R,2507,R,1053,R,1454,R,39,R,21,R,18,R,692,R,296,R,396,R,289,R,128,R,161,R,218,R,93,R,125,R,142,R,85,R,57
