UNITID,TUITION2,FEE2
100654,5592,1590
100663,6798,0
100690,7380,800
100706,8794,0
100724,6312,1620
100751,9200,0
100760,4140,0
100812,4590,750
100830,7500,650
100858,7872,1574
100937,29600,1090
101028,3270,930
101073,7920,170
101116,16185,175
101143,3052,672
101161,3312,870
101189,15730,1650
101240,3270,570
101286,3270,570
101295,3270,870
101301,3270,570
101365,11150,0
101435,19988,985
101453,8952,840
101462,2616,576
101471,3924,684
101480,7950,0
101499,3270,578
101505,3270,930
101514,3270,720
101541,14200,900
101569,3300,870
101587,6170,1150
101602,3270,690
101648,6000,2570
101675,10224,790
101693,17110,970
101709,8790,490
101736,3270,810
101879,5328,1200
101897,3270,870
101912,14530,884
101949,3270,870
101958,8400,885
101994,3270,930
102030,3270,870
102049,24570,580
102058,5640,200
102067,3270,870
102076,3360,744
102094,6360,300
102234,27670,1780
102261,11700,380
102270,13548,2117
102298,10175,1317
102313,2616,624
102368,5976,868
102377,18100,800
102395,11880,900
102429,3270,900
102553,5475,791
102580,6840,290
102614,5475,963
102632,5475,790
102669,29700,110
102845,19700,0
103361,4260,310
103644,12420,0
103723,14880,0
103778,.,.
103787,11700,0
103945,16796,0
104151,9208,516
104160,1728,0
104179,9114,921
104188,27540,125
104346,2160,0
104364,12384,720
104425,1680,0
104531,16076,80
104577,1760,0
104586,29520,900
104665,30000,300
104708,1824,30
104717,8055,629
104805,12824,225
105145,1824,30
105154,1824,30
105163,17748,300
105172,17748,300
105206,2280,240
105297,720,85
105330,8951,818
105349,1488,70
105367,10860,100
105428,1824,30
105516,10722,760
105525,1524,128
105589,27408,662
105668,1824,30
105747,1824,30
105792,1824,30
105899,20140,900
106102,11317,0
106148,1824,0
106245,5348,1506
106263,6656,800
106306,6960,840
106342,23370,224
106397,6142,1412
106412,4110,1407
106449,2040,264
106458,5430,1750
106467,4488,798
106485,3960,1600
106546,6790,810
106625,1848,624
106704,5498,1835
106713,11250,1280
106795,1950,352
106810,9300,1600
106829,1350,0
106883,2430,270
106980,2700,350
106999,1800,524
107044,14790,450
107071,4704,1004
107080,35750,300
107141,20796,978
107318,2352,270
107327,1932,218
107460,2088,240
107488,1890,305
107512,20960,480
107521,1950,597
107549,1800,458
107558,22650,600
107585,2550,810
107600,11804,660
107619,2220,515
107637,2460,520
107664,2700,483
107725,1920,426
107743,1824,360
107840,1380,270
107877,12300,850
107974,2112,284
107983,5880,1266
107992,2940,829
108092,3120,1266
108232,18360,290
108250,17748,300
108269,.,.
108667,1104,40
108807,1288,58
108852,29900,750
108861,.,.
108870,.,.
109086,20500,193
109208,0,1104
109350,1104,0
109651,35052,500
109785,30236,840
109819,1288,36
109907,1104,0
110060,8200,120
110097,31004,0
110185,19620,500
110219,11645,50
110246,1104,230
110307,.,.
110316,24960,255
110334,1288,62
110361,25090,1810
110370,38448,350
110398,.,.
110404,38085,1503
110413,33910,450
110422,5472,3035
110468,14880,310
110486,5472,1210
110495,5472,1154
110510,5472,1063
110529,5472,639
110538,5472,1418
110547,5472,623
110556,5472,791
110565,5970,723
110574,5472,1078
110583,5472,768
110592,5472,899
110608,5472,1032
110617,5472,1130
110635,11220,1654
110644,11220,2657
110653,11220,1902
110662,11220,1472
110671,11220,1740
110680,11220,1997
110699,.,.
110705,11220,2451
110714,11220,2196
110778,.,.
110918,8060,585
110945,16796,0
111009,14987,0
111081,38438,576
111188,5472,1064
111391,.,.
111434,828,60
111461,1104,50
111887,1340,52
111896,1288,2
111920,0,1138
111939,1104,49
111948,41040,1044
111966,11549,100
112075,27900,600
112084,23824,1284
112127,.,.
112172,1104,34
112190,0,1238
112251,.,.
112260,43840,245
112385,1104,32
112394,19488,180
112446,19500,100
112525,.,.
112561,1104,46
112570,18375,420
112686,1380,36
112826,1288,10
113096,0,1104
113111,1104,30
113193,1196,34
113218,1334,52
113236,1104,32
113333,1395,147
113537,12000,750
113573,1288,28
113582,20460,10
113607,16076,80
113634,1288,10
113698,38600,450
113704,.,.
113856,1218,2
113980,1380,36
114114,.,.
114266,1288,38
114354,26660,965
114372,21775,607
114390,26660,965
114415,26660,965
114433,0,1446
114549,.,.
114585,.,.
114716,1395,141
114734,.,.
114789,1104,36
114813,24960,376
114840,.,.
114859,1104,34
114938,1196,46
115001,1104,71
115083,14160,0
115126,1104,68
115214,.,.
115296,1334,52
115393,1380,20
115409,44159,283
115454,12900,120
115472,12900,120
115490,12900,120
115515,12900,120
115533,12900,120
115728,31260,380
115746,.,.
115755,5472,1658
115773,11160,0
115861,1288,38
116226,17950,95
116439,1451,36
116466,17748,300
116475,17748,300
116484,17748,300
116712,14500,234
116846,25992,1088
117052,1104,36
117104,12600,500
117113,18648,100
117140,33350,0
117168,25000,0
117195,1209,12
117247,1104,40
117274,1104,23
117520,.,.
117557,9000,375
117575,13320,372
117627,27180,1134
117636,27600,2808
117645,1288,78
117672,.,.
117690,1218,2
117706,1218,2
117715,1218,2
117724,1218,2
117733,1218,2
117751,27300,400
117788,1218,2
117803,.,.
117867,1218,2
117894,1288,10
117928,18648,300
117946,38212,688
118347,1380,36
118541,28220,700
118684,1380,42
118693,35510,600
118718,1104,34
118772,1104,40
118888,38850,1230
118912,864,44
118930,1104,70
118976,1104,46
119058,33950,56
119067,1104,66
119137,1288,50
119164,864,60
119173,31924,970
119216,1380,6
119234,18216,0
119270,23985,0
119331,1104,38
119359,14364,0
119368,14904,90
119508,13572,0
119544,7896,300
119605,11736,0
119678,.,.
119775,23700,433
120166,7200,250
120184,30202,320
120254,43490,1080
120290,1104,58
120342,1104,80
120403,36350,1950
120421,1288,50
120537,26544,464
120698,14348,4356
120740,.,.
120768,17664,80
120795,.,.
120838,18740,600
120865,25740,900
120883,37800,520
120953,1288,0
120971,1288,40
121044,1104,48
121071,8036,0
121150,42520,252
121257,43136,266
121275,25120,0
121309,28900,610
121345,41120,318
121363,1288,34
121381,14739,243
121619,1104,38
121628,.,.
121691,39038,300
121707,1104,36
121886,1104,66
121901,1380,33
121983,12240,445
122117,6500,400
122180,0,1104
122205,728,34
122296,39456,1335
122339,1104,36
122366,15270,1400
