UNITID,TUITION2,FEE2
100636,0,0
100654,5328,1500
100663,6264,0
100690,7920,800
100706,8094,0
100724,6312,1770
100751,8600,0
100760,2700,0
100812,4590,750
100830,6930,650
100858,7296,1402
100937,28250,1040
101028,3210,930
101073,7920,170
101116,15735,175
101143,2996,672
101161,3210,870
101189,14730,1150
101240,3210,570
101286,2760,570
101295,3210,870
101301,3210,570
101365,11040,0
101435,16702,850
101453,8952,840
101462,2568,576
101471,3852,684
101480,7650,0
101499,3210,578
101505,3210,930
101514,2760,720
101541,13600,860
101569,3210,870
101587,5848,1070
101602,3210,690
101648,6000,2570
101675,9738,752
101693,16450,770
101709,8040,480
101736,3210,810
101879,4896,1188
101897,3210,720
101912,13838,840
101949,3210,870
101958,8400,885
101994,3210,900
102030,3210,870
102049,23423,540
102058,5250,190
102067,3210,870
102076,3210,930
102094,5904,300
102234,26360,1700
102261,11250,350
102270,13026,2036
102298,10175,968
102313,2568,624
102368,5640,772
102377,17070,800
102395,11880,900
102429,3210,870
102553,5115,791
102580,6840,290
102614,5115,963
102632,5115,775
102669,27000,110
102845,17725,0
103361,3990,310
103644,12420,0
103723,12600,50
103778,.,.
103787,10500,0
103945,15790,0
104151,9208,512
104160,1680,0
104179,8364,922
104188,27540,125
104346,2100,0
104364,11680,540
104425,1512,80
104531,15294,80
104577,1600,0
104586,28680,872
104665,30000,300
104708,1824,30
104717,9198,565
105145,1824,30
105154,1824,30
105163,17748,300
105172,17748,300
105206,2220,240
105297,720,85
105330,6514,818
105349,1440,70
105367,10440,0
105428,1824,30
105516,10219,749
105525,1404,128
105589,26208,611
105668,1824,30
105747,1824,30
105792,1824,30
105899,17982,986
106102,10560,0
106148,1608,0
106245,5490,1551
106263,6795,254
106306,6960,840
106342,22682,224
106397,5888,1286
106412,3975,1355
106449,1992,216
106458,5304,1630
106467,4320,750
106485,3780,1650
106546,6592,760
106625,1680,288
106704,5387,1796
106713,10500,1110
106795,1920,338
106810,8800,1510
106829,1350,0
106883,2340,270
106980,2988,350
106999,1728,514
107044,14160,450
107071,4488,1003
107080,32509,300
107141,19834,932
107318,2208,250
107327,1820,218
107460,2040,120
107488,1890,305
107512,19545,470
107521,1860,542
107549,1800,386
107558,21450,600
107585,2490,654
107600,11350,560
107619,2110,440
107637,2400,430
107664,2520,390
107725,1920,304
107743,1752,312
107877,11800,820
107974,2016,284
107983,5580,1206
107992,2790,724
108092,3024,1226
108232,17760,290
108250,17748,300
108269,.,.
108667,1008,38
108807,1008,54
108852,29900,600
108861,.,.
108870,.,.
109086,18866,193
109208,0,972
109350,780,0
109651,33544,500
109785,29100,840
109819,1008,38
109907,864,0
110060,8200,120
110097,29908,0
110185,17440,440
110219,11645,50
110246,864,220
110307,.,.
110316,23040,270
110334,1008,62
110361,23998,1810
110370,36960,350
110398,.,.
110404,36387,1317
110413,32610,250
110422,5472,2439
110468,16350,310
110486,5472,1210
110495,5472,1110
110510,5472,982
110529,5472,634
110538,5472,1418
110547,5472,623
110556,5472,791
110565,5472,648
110574,5472,942
110583,5472,768
110592,5472,623
110608,5472,1016
110617,5472,1101
110635,11220,1614
110644,11220,2640
110653,11220,1902
110662,11220,1466
110671,11220,1704
110680,11220,1980
110699,.,.
110705,11220,2375
110714,11220,2196
110778,.,.
110918,7080,530
110945,15790,0
111009,14723,0
111081,37684,576
111188,5472,1064
111391,.,.
111434,1013,55
111461,864,46
111887,1060,52
111896,1008,2
111920,0,892
111939,864,34
111948,39200,1034
111966,10116,100
112075,26700,600
112084,22690,1124
112127,.,.
112172,1080,34
112190,0,1002
112251,.,.
112260,41995,245
112312,.,.
112385,864,32
112394,19488,180
112446,45892,100
112525,.,.
112561,864,46
112570,17685,395
112686,1728,34
112826,1008,10
113096,0,972
113111,864,28
113193,676,66
113218,1044,52
113236,864,32
113333,1080,141
113537,11500,750
113573,1008,28
113582,18480,0
113607,15294,80
113634,1008,10
113698,36900,450
113704,.,.
113856,958,1
113980,1728,34
114114,.,.
114266,1008,36
114354,25469,728
114372,21775,582
114390,25469,728
114415,25469,728
114433,0,1159
114549,.,.
114585,.,.
114716,360,135
114734,.,.
114789,864,36
114813,24520,270
114840,.,.
114859,864,32
114938,936,42
115001,864,67
115083,13920,0
115126,864,62
115214,.,.
115296,1044,52
115393,1080,8
115409,42140,270
115454,12975,120
115472,12975,120
115490,12975,120
115515,12975,120
