UNITID,TUITION2,FEE2
126580,5976,1048
126605,14654,240
126614,8760,1587
126669,18810,350
126678,43812,410
126702,17532,100
126711,4425,180
126748,2868,280
126775,14400,2085
126818,7494,1819
126827,10980,320
126863,2706,173
126872,17211,0
126924,8800,885
126942,2868,840
126979,.,.
127024,14913,291
127060,39744,963
127185,5232,1691
127200,2868,311
127273,.,.
127389,2868,355
127556,6008,717
127565,4691,1053
127617,2868,332
127653,28610,180
127680,12096,360
127699,12096,360
127714,10050,750
127732,2868,575
127741,5548,1420
127778,3585,275
127787,15660,0
127820,2868,288
127884,2921,567
127909,2868,286
127918,31824,600
127945,21720,750
128106,5494,1833
128151,2280,96
128258,2868,507
128328,0,0
128391,5275,2068
128425,8200,400
128498,27888,490
128577,3360,426
128586,6100,100
128683,18780,1060
128726,10200,1150
128744,27150,1940
128771,4510,4196
128780,6192,540
128902,45765,320
129002,17210,1309
129020,9256,2766
129154,18900,500
129215,4510,4866
129242,42320,600
129367,3360,451
129428,.,.
129491,.,.
129525,31804,1554
129534,10400,70
129543,3360,426
129613,15154,0
129686,27984,1632
129695,3360,426
129729,3360,446
129756,3360,426
129774,27718,1740
129808,3786,426
129941,32440,1300
130004,3360,406
130040,3360,426
130110,12600,360
130174,17210,1309
130183,16450,1200
130217,3360,426
130226,37830,1500
130253,34800,250
130314,31928,1489
130396,3360,426
130448,19350,300
130493,4510,4471
130581,.,.
130590,45300,2210
130606,3360,426
130624,0,0
130697,46674,270
130776,4510,4383
130785,.,.
130794,44000,0
130837,5000,700
130891,3018,362
130907,3018,362
130916,3018,362
130934,6506,830
130943,10580,1532
130989,21840,300
131098,22640,950
131113,9900,50
131159,40132,517
131283,38000,526
131308,30930,200
131399,6635,620
131405,.,.
131450,13424,376
131469,45122,47
131496,44280,525
131520,21450,1333
131803,15300,195
131830,8900,0
131876,20970,660
131973,.,.
132338,17604,100
132408,9300,400
132471,28160,0
132523,.,.
132602,14410,0
132657,31900,1700
132693,1892,604
132709,1810,732
132806,19955,1737
132842,11304,744
132851,1910,612
132879,11400,1070
132903,4478,1839
132976,2773,111
133021,2365,755
133085,16250,65
133386,3134,187
133465,16185,175
133492,37046,316
133508,2436,845
133526,11325,200
133553,30120,1214
133650,3152,2633
133669,2522,2268
133702,2095,514
133711,16180,0
133809,13670,820
133872,11250,580
133881,35460,560
133951,4721,1775
133960,2483,793
133979,12384,2392
133997,18000,184
134079,27930,650
134097,4640,1867
134121,9975,50
134130,4477,1786
134149,14796,0
134237,19001,3045
134343,2042,723
134422,10785,300
134495,1931,575
134510,5000,700
134608,2496,268
134680,15600,0
134811,17604,100
134909,17748,300
134945,29900,0
135063,7320,90
135081,15404,880
135160,2369,731
135188,3172,0
135364,5472,360
135391,2365,709
135522,2851,400
135610,10848,500
135717,2483,943
135726,41580,1272
135939,15776,0
135957,15552,0
136066,12957,1667
136075,18486,120
136145,2280,714
136172,3853,1864
136206,21000,1130
136215,24750,680
136233,2313,751
136288,14436,0
136330,25232,300
136358,2358,20
136400,2297,798
136473,2051,653
136516,2483,832
136701,.,.
136765,3000,30
136774,35490,3050
136950,41460,0
137032,19240,370
137078,2428,804
137096,1840,692
137148,13464,199
137209,2365,766
137272,21000,100
137281,2700,298
137315,3135,40
137351,4559,1851
137476,26370,0
137537,14800,100
137546,37980,350
137564,18986,1000
137759,2002,22
137777,12250,250
137801,15156,0
137810,15156,0
